LinkID,평균시간,거리,시/도,시/군,유출인구,정류장수,,LinkID,평균속도시간,거리,시/도,시/군,유입인구,,가평군,880
1011834,0.001428121,0.043,경기도,시흥시,89081,960,,1014850,0.002966251,0.135,서울특별시,강서구,108882,,,
1011835,0.017802208,0.639,경기도,시흥시,89081,960,,1014851,0.016199436,0.827,서울특별시,강서구,108882,,,
1011836,0.011775297,0.64,경기도,시흥시,89081,960,,1014852,0.023857271,0.827,서울특별시,강서구,108882,,,
1011837,0.012337123,0.522,경기도,시흥시,89081,960,,1014853,0.005077612,0.176,서울특별시,강서구,108882,,,
1011838,0.014929787,0.58,경기도,시흥시,89081,960,,1014854,0.013261077,0.376,서울특별시,강서구,108882,,,
1011839,0.012210624,0.634,경기도,시흥시,89081,960,,1014855,0.000517907,0.024,서울특별시,강서구,108882,,,
1011840,0.012468254,0.475,경기도,시흥시,89081,960,,1014856,0.007613712,0.41,서울특별시,강서구,108882,,,
1011841,0.009132122,0.388,경기도,시흥시,89081,960,,1014857,0.002118199,0.05,서울특별시,강서구,108882,,,
1011842,0.016382237,0.838,경기도,시흥시,89081,960,,1014858,,0.047,서울특별시,강서구,108882,,,
1011843,0.008962524,0.838,경기도,시흥시,89081,960,,1014859,0.044706406,1.163,서울특별시,강서구,108882,,,
1011844,0.004128323,0.386,경기도,시흥시,89081,960,,1014860,0.0424182,1.163,서울특별시,강서구,108882,,,
1011845,0.000753165,0.032,경기도,시흥시,89081,960,,1014861,0.030601124,1.122,서울특별시,강서구,108882,,,
1011846,0.011331771,0.546,경기도,시흥시,89081,960,,1014862,0.028259825,1.122,서울특별시,강서구,108882,,,
1011847,0.019220136,0.621,경기도,시흥시,89081,960,,1014863,0.011143477,0.423,서울특별시,강서구,108882,,,
1011848,0.011043272,0.155,경기도,시흥시,89081,960,,1014864,0.020559265,0.423,서울특별시,강서구,108882,,,
1011849,0.009026679,0.155,경기도,시흥시,89081,960,,1014865,0.049639255,0.819,서울특별시,강서구,108882,,,
1011850,0.009251818,0.428,경기도,시흥시,89081,960,,1014866,0.007404281,0.165,서울특별시,강서구,108882,,,
1011851,0.010909519,0.303,경기도,시흥시,89081,960,,1014867,0.011907045,1.046,서울특별시,강서구,108882,,,
1011852,0.015026784,0.437,경기도,시흥시,89081,960,,1014868,0.000946702,0.058,서울특별시,강서구,108882,,,
1011853,0.010447793,0.437,경기도,시흥시,89081,960,,1014869,0.010066557,0.309,서울특별시,강서구,108882,,,
1011854,0.01517874,0.637,경기도,시흥시,89081,960,,1014870,0.001495483,0.045,서울특별시,강서구,108882,,,
1011855,0.021875522,0.637,경기도,시흥시,89081,960,,1014871,0.00142748,0.045,서울특별시,강서구,108882,,,
1011856,0.031337248,0.591,경기도,시흥시,89081,960,,1014872,0.001970859,0.047,서울특별시,강서구,108882,,,
1011857,0.021446568,0.591,경기도,시흥시,89081,960,,1014873,0.002068249,0.047,서울특별시,강서구,108882,,,
1011858,0.01274863,0.636,경기도,시흥시,89081,960,,1014874,0.007707142,0.338,서울특별시,강서구,108882,,,
1011859,0.014610199,0.636,경기도,시흥시,89081,960,,1014875,0.008111522,0.179,서울특별시,강서구,108882,,,
1011860,0.010926173,0.437,경기도,시흥시,89081,960,,1014876,0.00266089,0.092,서울특별시,강서구,108882,,,
1011861,0.021397031,0.437,경기도,시흥시,89081,960,,1014877,0.002840342,0.092,서울특별시,강서구,108882,,,
1011862,0.014908376,0.577,경기도,시흥시,89081,960,,1014878,0.005345715,0.169,서울특별시,강서구,108882,,,
1011863,0.011525708,0.529,경기도,시흥시,89081,960,,1014879,0.006452498,0.139,서울특별시,강서구,108882,,,
1011864,0.015552679,0.436,경기도,시흥시,89081,960,,1014880,0.000968412,0.036,서울특별시,강서구,108882,,,
