start,end,총시간,총거리,유출인구,정류장수,평균버스,평균승용차,평균트럭,평균교통량,버스비율,승용차비율,트럭비율,1인가구수,면적당지하철,광역버스,출근급행,총광역급행,광역비율,급행비율,남경제,남비경제,여경제,여비경제,평균속도
1085661,1039064,0.758822958,47.014,106864,2632,3560,100385.5,25810,129755.5,0.027436217,0.773651213,0.19891257,52899,0,6,4,10,0.6,0.4,0.365464186,0.152036207,0.291707617,0.190791991,61.95648076
1085666,1098446,0.709636953,37.989,106864,2632,4715.5,73963,16809.5,95488,0.049383169,0.774579005,0.176037827,52899,0,6,4,10,0.6,0.4,0.365464186,0.152036207,0.291707617,0.190791991,53.53300704
1085674,1070218,0.812500277,53.698,106864,2632,3476.5,80433,22617.5,106527,0.032634919,0.755048016,0.212317065,52899,0,6,4,10,0.6,0.4,0.365464186,0.152036207,0.291707617,0.190791991,66.08982362
1085688,1038210,0.912643685,38.819,106864,2632,508,81862.5,7226,89596.5,0.005669864,0.913679664,0.080650472,52899,0,6,4,10,0.6,0.4,0.365464186,0.152036207,0.291707617,0.190791991,42.53467223
1085688,1095574,0.664720041,32.727,106864,2632,356,56347,5031,61734,0.005766676,0.912738523,0.0814948,52899,0,6,4,10,0.6,0.4,0.365464186,0.152036207,0.291707617,0.190791991,49.23426101
1085724,1096767,0.698601546,40.511,106864,2632,1793.5,82263.5,21547.5,105604.5,0.016983178,0.778977222,0.204039601,52899,0,6,4,10,0.6,0.4,0.365464186,0.152036207,0.291707617,0.190791991,57.98870648
1085724,1070430,0.598556534,31.555,106864,2632,3039,126964,26133.5,156136.5,0.019463738,0.81316028,0.167375982,52899,0,6,4,10,0.6,0.4,0.365464186,0.152036207,0.291707617,0.190791991,52.71849559
1085724,1070430,0.692948855,34.206,106864,2632,3164.5,141628,27835.5,172628,0.018331325,0.820423106,0.161245569,52899,0,6,4,10,0.6,0.4,0.365464186,0.152036207,0.291707617,0.190791991,49.36295046
1085724,1038168,0.791331794,36.851,106864,2632,2624.5,112569,23653,138846.5,0.018902169,0.810744239,0.170353592,52899,0,6,4,10,0.6,0.4,0.365464186,0.152036207,0.291707617,0.190791991,46.56832985
1085724,1069978,0.928687531,43.252,106864,2632,6306.5,227236,43201,276743.5,0.02278825,0.821106909,0.156104841,52899,0,6,4,10,0.6,0.4,0.365464186,0.152036207,0.291707617,0.190791991,46.57325371
