폐쇄말소대장,811,37,국토교통부,중점데이터,https://www.data.go.kr/dataset/15004850/openapi.do
교육 현황,806,21,광주광역시,교육,https://www.data.go.kr/dataset/3083649/openapi.do
구조/구급활동현황,805,275,소방청,재난안전,https://www.data.go.kr/dataset/3059147/openapi.do
상수도정보 통합DB,803,3,한국환경공단,환경기상,https://www.data.go.kr/dataset/3043209/openapi.do
적합성평가 DB,796,28,과학기술정보통신부 국립전파연구원,과학기술,https://www.data.go.kr/dataset/3034183/openapi.do
스포츠센터 운영현황,793,298,한국체육산업개발주식회사,문화관광,https://www.data.go.kr/dataset/3074925/openapi.do
도서 및 디브러리 정보 서비스,793,132,문화체육관광부 국립중앙도서관,공공행정,https://www.data.go.kr/dataset/15000360/openapi.do
분실물정보 조회 서비스,792,43,경찰청,재난안전,https://www.data.go.kr/dataset/15000799/openapi.do
인구현황,789,19,제주특별자치도 제주시,사회복지,https://www.data.go.kr/dataset/3083877/openapi.do
건강보험심사평가원 약제 기준정보,789,93,건강보험심사평가원,중점데이터,https://www.data.go.kr/dataset/3074383/openapi.do
부산광역시_문화축제,785,55,부산광역시,문화관광,https://www.data.go.kr/dataset/3077988/openapi.do
한국지역난방공사 열판매량 정보,783,23,한국지역난방공사,산업고용,https://www.data.go.kr/dataset/3070429/openapi.do
세종특별자치시_통계 정보,775,32,세종특별자치시,공공행정,https://www.data.go.kr/dataset/3074663/openapi.do
주택분양정보,774,170,주택도시보증공사,공공행정,https://www.data.go.kr/dataset/15003382/openapi.do
대전광역시도시철도공사_역별승하차인원,774,113,대전광역시도시철도공사,교통물류,https://www.data.go.kr/dataset/15000060/openapi.do
해양수산통계연보,770,22,해양수산부,농축수산,https://www.data.go.kr/dataset/3044767/openapi.do
지하철 열차 시간표 정보,767,279,서울교통공사,교통물류,https://www.data.go.kr/dataset/15003143/openapi.do
조달청_가격정보,766,63,조달청,중점데이터,https://www.data.go.kr/dataset/3036692/openapi.do
총괄 화재 현황 정보,765,32,소방청,재난안전,https://www.data.go.kr/dataset/15002228/openapi.do
농수축산물 표준코드 매핑정보,764,63,농림수산식품교육문화정보원,중점데이터,https://www.data.go.kr/dataset/15012286/openapi.do
한국산업안전보건공단_클린사업 공급업체 정보,759,137,한국산업안전보건공단,공공행정,https://www.data.go.kr/dataset/3083183/openapi.do
"한국동서발전 발전소 주변 대기환경(기상, 대기질)",759,47,한국동서발전(주),산업고용,https://www.data.go.kr/dataset/3071439/openapi.do
국민연금 가입 사업장 내역,756,859,국민연금공단,중점데이터,https://www.data.go.kr/dataset/3046071/openapi.do
해안선 통계 공표자료,753,19,해양수산부 국립해양조사원,중점데이터,https://www.data.go.kr/dataset/15001946/openapi.do
전기차 충전소 운영정보,746,190,한국전력공사,공공행정,https://www.data.go.kr/dataset/3068728/openapi.do
시외버스정보 서비스,746,464,국토교통부,국토관리,https://www.data.go.kr/dataset/15000590/openapi.do
[산업인력] 국가직무능력표준 정보,744,21,한국산업인력공단,교육,https://www.data.go.kr/dataset/3072161/openapi.do
농수축산물 품목별 상세조사가격,742,229,농림수산식품교육문화정보원,중점데이터,https://www.data.go.kr/dataset/15012298/openapi.do
경기도 학교시설 이용 현황,738,61,경기도,교육,https://www.data.go.kr/dataset/3082799/openapi.do
고속도로 영업소 교통량 현황,736,45,한국도로공사,교통물류,https://www.data.go.kr/dataset/15001303/openapi.do
폐기물처리정보,735,9,한국중부발전(주),환경기상,https://www.data.go.kr/dataset/3047492/openapi.do
말등록정보,735,65,한국마사회,문화관광,https://www.data.go.kr/dataset/3033410/openapi.do
