dong,news,inout,age,person_num,total_comp
대림1동,44,0.313930703,0,22454,11363
대림1동,24,0.316752992,0,22396,10745
대림1동,44,0.310468344,0,22334,10715
대림1동,31,0.327627816,0,22376,11038
대림1동,5,0.298532089,0,17576,8988
대림1동,9,0.294196015,0,17264,8976
대림1동,13,0.309927361,0,16933,9314
대림1동,18,0.325629877,0,16789,11044
대림2동,5,0.394955079,2,26046,21109
대림2동,9,0.351332799,2,26223,21572
대림2동,13,0.367377579,2,25976,19010
대림2동,18,0.384151294,2,25857,22334
대림2동,11,0.29512841,0,32474,10834
대림2동,3,0.295350704,0,32392,9931
대림2동,5,0.290463419,4,32066,10277
대림2동,2,0.319056937,4,31684,10651
대림3동,11,0.30093319,0,24218,3121
대림3동,3,0.29319742,0,24035,2837
대림3동,5,0.274618051,0,23367,2637
대림3동,2,0.29601294,3,22874,2929
대림3동,11,0.238339884,0,32311,2874
대림3동,3,0.242063492,0,32004,3161
대림3동,5,0.227780583,0,31684,3061
대림3동,2,0.249558318,0,31131,2984
대방동,4,0.296664324,0,31298,6850
대방동,14,0.287128713,0,31108,7140
대방동,6,0.709519168,0,30780,8755
대방동,16,0.29995796,0,42816,10126
대방동,2,0.293202699,0,26231,12130
대방동,7,0.288014723,4,26082,12658
대방동,3,0.29322959,4,25833,10884
대방동,8.5,0.324289048,4,25283,11834
대조동,4,0.272237878,2,27678,3904
대조동,14,0.267155157,2,27295,3824
대조동,6,0.290226174,2,27103,4323
대조동,16,0.284555926,2,26392,4577
대조동,2,0.34545198,2,21262,8763
대조동,0,0.344259975,2,21202,8783
대조동,1,0.34763066,2,20913,9030
대조동,3,0.362375758,2,20625,9093
대치1동,2,0.245331744,0,20136,3665
대치1동,0,0.25597166,0,19760,3128
대치1동,1,0.252502723,0,19279,3325
대치1동,3,0.257370813,3,18926,3203
대치1동,2,0.215160975,0,21463,2637
대치1동,0,0.20486634,0,21248,2556
대치1동,1,0.221145544,0,20846,2621
대치1동,3,0.220358757,0,20571,2833
대치2동,0,0.296072022,2,18661,1774
대치2동,0,0.279325033,2,18312,2091
대치2동,0,0.292669278,3,17870,2009
대치2동,1,0.275050893,3,17684,2068
대치2동,7,0.282314638,2,29793,4477
대치2동,12,0.29842017,2,28041,4966
대치2동,14,0.30950103,2,27176,6374
대치2동,20,0.294569953,2,27311,7131
대치4동,0,0.354546065,2,14881,4287
대치4동,0,0.325905873,2,14406,4121
대치4동,0,0.381304059,2,15030,5098
대치4동,0,0.328504333,2,15117,5350
대치4동,0.666666667,0.306527008,0,11552,3432
대치4동,1.666666667,0.299835825,0,11573,3590
대치4동,1.333333333,0.285901468,0,11448,3495
대치4동,5.666666667,0.297806747,0,11353,3635
대학동,1,0.906584992,0,10448,3218
대학동,4,0.377359491,0,18860,2025
대학동,2,0.321688791,0,20038,2404
대학동,17,0.349403007,0,20017,2911
대학동,1,0.284358151,0,34868,6278
대학동,4,0.297523319,0,34199,6294
대학동,2,0.292847149,0,34308,6626
대학동,17,0.319831469,0,34415,6899
대흥동,5,0.305228814,2,11647,1795
대흥동,1,0.273078652,3,11125,1862
대흥동,0,0.282357295,3,10809,1961
대흥동,10,0.414146248,3,10448,2023
대흥동,4,0.291239372,0,42223,6304
대흥동,2,0.322540945,0,42252,6914
대흥동,9,0.293760074,0,43430,6550
대흥동,7,0.327422595,0,43311,6968
도곡1동,4,0.287663242,0,30859,3919
도곡1동,2,0.282549566,4,30515,4088
도곡1동,9,0.284347186,4,29886,4045
도곡1동,7,0.331078095,4,29413,4235
도곡1동,1.5,0.366991113,1,11815,10177
도곡1동,1.5,0.354882042,1,11911,9219
도곡1동,1,0.46087843,1,11771,9933
도곡1동,4.5,0.388442522,1,12944,11115
도곡2동,6,0.390914258,2,24632,8482
도곡2동,8,0.403001599,2,24387,8660
도곡2동,2,0.394747777,2,24066,9718
도곡2동,36,0.418252847,2,24062,10239
도곡2동,3.5,0.297171998,2,30198,5488
도곡2동,4,0.352983185,2,30806,5323
도곡2동,1,0.293487534,2,31647,5254
도곡2동,18,0.325310858,2,31204,5438
도림동,6,0.32034271,2,26378,4444
도림동,8,0.322946283,2,26379,4303
도림동,2,0.320947725,2,26590,4121
도림동,36,0.349768995,2,25757,3921
도림동,6,0.374596618,2,15494,1672
도림동,8,0.36469131,2,15339,1638
도림동,2,0.359656085,2,15120,1613
도림동,36,0.389647402,2,15088,1844
